		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010011111  257  286  243  261  259  262  238  260 12.860944 0.116725 SUCCESS  59
010100011  234  230  238  236  262  232  245  275  7.736690 0.459605 SUCCESS  60
010100111  261  246  261  241  252  263  220  251  6.907362 0.546660 SUCCESS  61
010101011  228  247  221  229  244  248  239  247  4.581430 0.801232 SUCCESS  62
010101111  237  247  230  240  237  242  231  242  2.150640 0.976042 SUCCESS  63
010110011  246  234  259  243  224  245  244  213  7.215580 0.513562 SUCCESS  64
010110111  257  249  244  245  227  239  217  237  5.492314 0.703891 SUCCESS  65
010111011  207  253  235  233  268  257  240  271 13.299439 0.101954 SUCCESS  66
010111111  262  272  270  238  250  219  222  219 15.210177 0.055185 SUCCESS  67
011000111  280  259  272  246  229  273  273  229 18.700135 0.016548 SUCCESS  68
011001111  223  242  236  233  227  248  250  206 10.324237 0.243002 SUCCESS  69
011010111  227  265  249  242  269  257  260  234  8.034316 0.430125 SUCCESS  70
011011111  276  228  245  257  242  253  243  249  6.570547 0.583594 SUCCESS  71
011101111  239  254  256  265  226  242  213  268 10.898306 0.207528 SUCCESS  72
011111111  238  241  251  243  242  245  226  240  1.892203 0.984140 SUCCESS  73
100000000  236  233  236  212  273  264  223  244 12.552726 0.128194 SUCCESS  74
100010000  224  213  233  253  254  238  232  227  9.115727 0.332628 SUCCESS  75
100100000  250  242  232  258  229  249  271  214  9.578583 0.295858 SUCCESS  76
100101000  256  251  247  219  253  233  227  269  8.229203 0.411407 SUCCESS  77
100110000  265  243  236  246  255  220  247  235  5.500787 0.702953 SUCCESS  78
100111000  272  246  257  234  237  226  244  254  6.463571 0.595451 SUCCESS  79
101000000  261  240  237  238  233  275  229  250  7.331029 0.501374 SUCCESS  80
101000100  237  224  233  253  240  235  247  228  4.350531 0.824194 SUCCESS  81
101001000  245  249  232  275  229  247  280  256 11.819782 0.159428 SUCCESS  82
101001100  238  252  233  252  222  245  252  240  3.620765 0.889618 SUCCESS  83
101010000  277  244  239  254  248  256  219  255  8.939905 0.347391 SUCCESS  84
101010100  261  230  255  242  233  235  244  240  3.521203 0.897538 SUCCESS  85
101011000  267  242  219  226  232  263  235  233  9.311673 0.316690 SUCCESS  86
101011100  248  267  263  272  218  234  263  229 12.886364 0.115820 SUCCESS  87
101100000  234  258  241  235  251  256  237  268  5.071824 0.749873 SUCCESS  88
101100100  246  255  241  242  254  228  256  242  2.707762 0.951338 SUCCESS  89
101101000  229  227  260  248  233  255  235  235  5.073943 0.749645 SUCCESS  90
101101100  238  249  253  231  225  253  225  242  4.775257 0.781305 SUCCESS  91
101110000  206  254  256  293  292  249  236  227 28.622418 0.000369 FAILURE  92
101110100  249  243  231  244  239  246  238  254  1.534204 0.992125 SUCCESS  93
101111000  228  247  242  255  251  261  250  268  5.624710 0.689187 SUCCESS  94
101111100  262  246  261  275  237  251  247  235  7.416822 0.492399 SUCCESS  95
110000000  227  242  242  229  270  248  256  253  6.081211 0.638135 SUCCESS  96
110000010  244  254  239  242  292  234  238  249 10.948087 0.204658 SUCCESS  97
110000100  263  249  230  235  247  237  253  241  3.433292 0.904305 SUCCESS  98
110001000  222  238  270  252  270  227  256  232 10.631396 0.223472 SUCCESS  99
110001010  271  252  243  253  254  261  250  257  6.129933 0.632680 SUCCESS 100
110010000  215  245  239  242  244  245  246  234  4.180005 0.840528 SUCCESS 101
110010010  275  229  231  263  246  226  242  225 10.222557 0.249752 SUCCESS 102
110010100  249  239  256  246  251  233  236  259  2.766016 0.948172 SUCCESS 103
110011000  253  259  262  243  246  224  236  218  7.532271 0.480438 SUCCESS 104
110011010  232  274  243  233  230  231  272  228 10.902542 0.207283 SUCCESS 105
110100000  235  239  232  247  223  264  242  263  6.214666 0.623200 SUCCESS 106
110100010  250  234  237  254  249  230  238  237  2.528763 0.960376 SUCCESS 107
110100100  249  235  230  265  217  227  280  242 12.976393 0.112664 SUCCESS 108
