		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000111111  232  246  239  231  234  238  244  250  2.218427 0.973572 SUCCESS  29
001000011  252  212  244  244  233  263  243  253  7.007983 0.535772 SUCCESS  30
001000101  282  251  232  245  218  222  254  204 19.103678 0.014315 SUCCESS  31
001000111  251  254  243  237  269  249  251  236  4.035958 0.853865 SUCCESS  32
001001011  240  241  242  256  232  269  219  228  7.750459 0.458218 SUCCESS  33
001001101  273  238  265  237  214  246  229  228 11.683149 0.165911 SUCCESS  34
001001111  262  253  234  230  268  249  226  238  7.033403 0.533033 SUCCESS  35
001010011  249  269  223  224  256  235  253  250  7.758933 0.457366 SUCCESS  36
001010101  235  247  237  261  257  239  240  264  4.368537 0.822437 SUCCESS  37
001010111  249  225  254  266  237  242  238  231  5.213753 0.734505 SUCCESS  38
001011011  222  223  236  229  256  229  225  242  8.348889 0.400153 SUCCESS  39
001011101  247  252  252  253  232  253  229  231  3.549800 0.895290 SUCCESS  40
001011111  248  250  262  246  241  241  244  233  2.185593 0.974787 SUCCESS  41
001100101  229  257  259  251  245  247  250  274  6.774966 0.561095 SUCCESS  42
001100111  258  228  242  235  261  254  261  240  5.187274 0.737385 SUCCESS  43
001101011  241  241  228  258  202  219  239  272 15.595714 0.048546 SUCCESS  44
001101101  227  238  242  260  236  244  260  267  6.052614 0.641338 SUCCESS  45
001101111  259  262  238  226  260  239  255  256  6.119341 0.633866 SUCCESS  46
001110101  259  250  250  231  239  247  235  218  5.350386 0.719554 SUCCESS  47
001110111  256  248  237  239  230  229  261  253  4.342058 0.825019 SUCCESS  48
001111011  223  271  233  218  243  214  273  246 15.764122 0.045883 SUCCESS  49
001111101  242  233  240  227  268  250  239  235  4.883293 0.769974 SUCCESS  50
001111111  207  237  263  252  228  250  241  245  9.118904 0.332365 SUCCESS  51
010000011  249  255  199  270  265  248  256  246 14.587387 0.067683 SUCCESS  52
010000111  250  247  240  207  238  264  214  259 12.707364 0.122323 SUCCESS  53
010001011  265  247  228  244  233  244  262  215  8.454806 0.390349 SUCCESS  54
010001111  239  263  241  240  275  253  260  226  8.566019 0.380217 SUCCESS  55
010010011  247  267  243  253  266  230  241  216  8.856231 0.354569 SUCCESS  56
010010111  255  229  242  224  225  253  228  236  6.469926 0.594745 SUCCESS  57
010011011  269  238  246  261  243  226  252  249  5.762402 0.673827 SUCCESS  58
010011111  239  243  227  243  243  230  241  239  2.367769 0.967612 SUCCESS  59
010100011  230  269  245  252  233  237  257  255  5.675550 0.683523 SUCCESS  60
