		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001111011  228  214  249  239  236  235  243  246  5.811123 0.668379 SUCCESS  49
001111101  266  251  231  261  223  261  222  229 10.304113 0.244327 SUCCESS  50
001111111  247  229  216  259  238  248  227  242  6.777084 0.560864 SUCCESS  51
010000011  251  243  240  250  280  267  217  257 11.912988 0.155129 SUCCESS  52
010000111  228  266  214  257  226  241  216  244 12.460578 0.131807 SUCCESS  53
010001011  259  239  245  246  231  257  252  251  2.961962 0.936722 SUCCESS  54
010001111  239  253  257  216  266  252  242  225  8.357363 0.399363 SUCCESS  55
010010011  265  251  251  267  253  235  284  235 12.239212 0.140846 SUCCESS  56
010010111  217  219  242  248  244  247  247  250  6.090744 0.637068 SUCCESS  57
010011011  254  223  254  254  249  242  267  263  6.976208 0.539202 SUCCESS  58
010011111  212  256  249  236  251  256  246  218  9.054295 0.337736 SUCCESS  59
010100011  255  240  261  226  237  265  245  258  6.051555 0.641457 SUCCESS  60
010100111  269  239  229  250  226  241  258  231  6.826865 0.555423 SUCCESS  61
010101011  235  260  254  221  228  244  237  231  6.145820 0.630902 SUCCESS  62
010101111  237  249  237  219  258  253  224  264  7.744104 0.458858 SUCCESS  63
010110011  251  243  272  246  233  243  230  260  5.955170 0.652254 SUCCESS  64
010110111  225  270  264  263  251  230  263  240 10.196078 0.251533 SUCCESS  65
010111011  238  254  251  209  225  249  239  243  7.766347 0.456621 SUCCESS  66
010111111  242  209  243  243  227  252  255  251  7.463425 0.487554 SUCCESS  67
011000111  266  266  235  237  266  258  250  214 11.456487 0.177151 SUCCESS  68
011001111  238  221  241  241  212  263  269  250 11.156743 0.192975 SUCCESS  69
011010111  263  237  251  229  235  257  249  274  7.830956 0.450155 SUCCESS  70
011011111  268  240  239  282  271  247  235  276 16.428220 0.036645 SUCCESS  71
011101111  242  228  251  238  229  226  243  248  3.909917 0.865158 SUCCESS  72
011111111  255  218  252  270  226  240  220  245 10.424858 0.236463 SUCCESS  73
100000000  256  260  253  229  225  228  249  251  5.920218 0.656168 SUCCESS  74
100010000  234  247  233  242  257  237  253  231  2.993737 0.934750 SUCCESS  75
100100000  241  259  243  233  244  232  240  245  2.206776 0.974007 SUCCESS  76
100101000  277  245  219  260  272  244  261  250 12.968979 0.112921 SUCCESS  77
100110000  236  271  226  236  262  230  251  243  7.415762 0.492509 SUCCESS  78
100111000  227  247  287  233  247  241  234  223 11.991367 0.151589 SUCCESS  79
101000000  258  235  223  234  243  230  259  239  5.392752 0.714891 SUCCESS  80
101000100  259  234  243  261  253  235  253  261  4.810210 0.777655 SUCCESS  81
101001000  230  238  244  227  241  231  233  231  4.272153 0.831772 SUCCESS  82
101001100  254  270  251  235  238  219  244  260  7.703856 0.462920 SUCCESS  83
101010000  250  239  226  249  230  243  240  236  2.952430 0.937307 SUCCESS  84
101010100  234  240  228  235  253  233  247  226  4.245674 0.834305 SUCCESS  85
101011000  218  243  250  247  273  236  248  235  7.306668 0.503936 SUCCESS  86
101011100  255  250  243  267  215  259  233  221 10.190782 0.251890 SUCCESS  87
101100000  231  251  244  255  250  247  211  261  7.467662 0.487115 SUCCESS  88
101100100  228  253  243  254  238  215  246  240  5.693556 0.681514 SUCCESS  89
101101000  238  248  231  253  209  245  242  233  7.059882 0.530186 SUCCESS  90
101101100  264  214  224  231  264  262  232  260 12.681944 0.123272 SUCCESS  91
101110000  232  263  238  230  235  252  246  248  3.830480 0.872085 SUCCESS  92
101110100  238  221  268  248  262  287  270  273 20.413868 0.008879 FAILURE  93
101111000  261  233  244  223  243  250  242  275  7.830956 0.450155 SUCCESS  94
101111100  242  233  231  280  243  259  243  287 15.462259 0.050756 SUCCESS  95
110000000  234  268  262  245  222  266  219  264 12.655465 0.124267 SUCCESS  96
110000010  226  243  252  249  242  245  242  237  2.017185 0.980480 SUCCESS  97
110000100  238  262  226  211  251  239  237  248  8.143411 0.419588 SUCCESS  98
110001000  248  222  259  238  270  253  234  227  8.080920 0.425606 SUCCESS  99
110001010  238  201  258  258  232  259  228  218 15.222887 0.054954 SUCCESS 100
110010000  237  257  225  225  223  228  238  230  8.013133 0.432188 SUCCESS 101
110010010  239  250  271  245  249  224  265  231  7.713389 0.461956 SUCCESS 102
110010100  252  245  237  257  266  266  237  256  6.050495 0.641576 SUCCESS 103
110011000  226  263  217  223  243  270  231  223 13.371462 0.099692 SUCCESS 104
110011010  228  212  237  242  232  237  224  272 11.553931 0.172243 SUCCESS 105
110100000  256  251  256  235  270  239  240  236  5.047464 0.752491 SUCCESS 106
110100010  266  231  237  263  223  257  252  263  8.846698 0.355393 SUCCESS 107
110100100  247  233  245  255  244  226  267  214  8.517297 0.384635 SUCCESS 108
110101000  245  239  233  218  240  233  254  246  4.554951 0.803911 SUCCESS 109
110101010  223  250  245  224  234  239  245  224  6.020839 0.644898 SUCCESS 110
110101100  257  251  254  246  262  228  244  233  4.310283 0.828100 SUCCESS 111
110110000  257  235  257  254  255  218  221  260  8.896479 0.351104 SUCCESS 112
110110010  230  261  235  237  263  231  224  254  6.987859 0.537943 SUCCESS 113
110110100  221  227  244  231  219  237  257  246  7.844725 0.448783 SUCCESS 114
110111000  249  246  217  218  256  228  245  244  7.826720 0.450577 SUCCESS 115
110111010  245  239  279  242  287  239  279  259 19.276322 0.013450 SUCCESS 116
110111100  242  226  247  252  227  233  250  251  3.822007 0.872815 SUCCESS 117
111000000  243  245  249  234  233  261  212  257  7.349035 0.499485 SUCCESS 118
111000010  243  262  224  234  235  248  222  242  6.018720 0.645135 SUCCESS 119
111000100  230  225  259  233  257  241  263  225  7.659371 0.467431 SUCCESS 120
111000110  246  245  246  256  239  265  224  250  4.450093 0.814405 SUCCESS 121
111001000  242  266  226  242  222  218  228  225 11.074128 0.197534 SUCCESS 122
